session,equity,cash,long,short,spy,n_positions,n_trades,cost,broker_equity,avg_slippage_bps
2026-09-14T16:00:00-04:00,10002.06,3794.39,6207.67,0.0,760.8800048828125,3,3,0.0,100014.77,-3.15
2026-09-16T09:30:00-04:00,10014.1799,3794.39,6219.79,0.0,759.5,3,0,0.0,100026.24,
2026-09-17T09:30:00-04:00,10116.0701,3794.39,6321.68,0.0,763.1500244140625,3,0,0.0,100109.48,
2026-09-18T09:30:00-04:00,10124.0801,5789.11,4334.97,0.0,761.3099975585938,2,1,0.0,100103.81,-1.4
2026-09-21T09:30:00-04:00,10254.015,6370.9,3883.12,0.0,766.2509765625,2,1,0.0,100364.7,11.25
2026-09-22T09:30:00-04:00,10357.5899,7237.87,3119.72,0.0,774.030029296875,2,1,0.0,100411.46,-20.81
2026-09-23T09:30:00-04:00,10423.31,9055.51,1367.8,0.0,772.780029296875,1,1,0.0,100415.26,-14.21
2026-09-24T09:30:00-04:00,10380.19,9055.51,1324.68,0.0,764.0650024414062,1,0,0.0,100381.73,
2026-09-24T16:00:00-04:00,10401.16,9536.26,864.9,0.0,767.27001953125,1,1,0.0,100396.66,-5.2
2026-09-25T09:30:00-04:00,10404.94,9536.26,868.68,0.0,768.780029296875,1,0,0.0,100408.18,
2026-09-25T16:00:00-04:00,10408.63,10408.63,0,0.0,771.3499755859375,0,1,0.0,100408.63,2.06
