[2026-09-17 13:36:52 EDT] 2026-09-17 09:30 | equity $1,000.00 | cash $1,000.00 | long 0% short 0% | 0 fills
[2026-09-17 17:17:46 EDT] 2026-09-17 16:00 | equity $1,000.03 | cash $1,000.03 | long 0% short 0% | 0 fills
[2026-09-18 12:28:40 EDT] 2026-09-18 09:30 | equity $1,000.11 | cash $1,000.11 | long 0% short 0% | 0 fills
[2026-09-18 16:51:05 EDT] 2026-09-18 16:00 | equity $1,000.14 | cash $1,000.14 | long 0% short 0% | 0 fills
[2026-09-21 14:55:15 EDT] 2026-09-21 09:30 | equity $1,000.44 | cash $1,000.44 | long 0% short 0% | 0 fills
[2026-09-21 16:25:04 EDT] 2026-09-21 16:00 | equity $1,000.46 | cash $1,000.46 | long 0% short 0% | 0 fills
[2026-09-22 13:01:08 EDT] 2026-09-22 09:30 | equity $1,000.54 | cash $1,000.54 | long 0% short 0% | 0 fills
[2026-09-22 17:13:41 EDT] 2026-09-22 16:00 | equity $1,000.57 | cash $1,000.57 | long 0% short 0% | 0 fills
[2026-09-23 09:42:02 EDT] 2026-09-23 09:30 | equity $1,000.65 | cash $1,000.65 | long 0% short 0% | 0 fills
[2026-09-23 16:17:20 EDT] 2026-09-23 16:00 | equity $1,000.68 | cash $1,000.68 | long 0% short 0% | 0 fills
[2026-09-24 09:35:34 EDT] 2026-09-24 09:30 | equity $1,000.76 | cash $1,000.76 | long 0% short 0% | 0 fills
[2026-09-24 16:27:13 EDT] 2026-09-24 16:00 | equity $1,000.76 | cash $688.03 | long 31% short 0% | 1 fills
[2026-09-25 09:51:00 EDT] 2026-09-25 09:30 | equity $1,003.08 | cash $1,003.08 | long 0% short 0% | 1 fills
