session,equity,cash,long,short,spy,n_positions,n_trades,cost
2026-09-02T16:00:00-04:00,999.9,333.3,666.6,0,765.1599731445312,2,2,0.1
2026-09-03T09:30:00-04:00,1003.3149,1003.3149,0,0,767.9000244140625,0,2,0.1005
2026-09-03T16:00:00-04:00,1003.2432,334.4144,668.83,0,773.1699829101562,2,2,0.1003
2026-09-04T09:30:00-04:00,1009.4286,1009.4286,0,0,772.010009765625,0,2,0.1011
2026-09-04T16:00:00-04:00,1009.3228,0.0,1009.32,0,770.1900024414062,3,3,0.1345
2026-09-08T09:30:00-04:00,1017.0688,1017.0688,0,0,769.0700073242188,0,3,0.1355
2026-09-08T16:00:00-04:00,1016.9961,338.9987,678.0,0,765.9600219726562,2,2,0.1017
2026-09-09T09:30:00-04:00,1013.4694,1013.4694,0,0,764.0800170898438,0,2,0.1012
2026-09-09T16:00:00-04:00,1013.4646,675.643,337.82,0,762.4000244140625,1,1,0.0338
2026-09-10T09:30:00-04:00,1010.9717,1010.9717,0,0,758.030029296875,0,1,0.0335
2026-09-10T16:00:00-04:00,1010.8657,0.0,1010.87,0,757.8300170898438,3,3,0.1348
2026-09-11T09:30:00-04:00,1026.0176,1026.0176,0,0,764.719970703125,0,3,0.1369
