session,ticker,side,shares,price,dollars,cost,target_w
2026-09-02T16:00:00-04:00,IWM,BUY,1.133635,294.01,333.3,0.0333,0.3333
2026-09-02T16:00:00-04:00,QLD,BUY,3.774205,88.31,333.3,0.0667,0.3333
2026-09-03T09:30:00-04:00,QLD,SELL,-3.774205,87.78,-331.3,0.0663,0.0
2026-09-03T09:30:00-04:00,IWM,SELL,-1.133635,291.54,-330.5,0.033,0.0
2026-09-03T16:00:00-04:00,QLD,BUY,3.715355,89.265,331.65,0.0663,0.3333
2026-09-03T16:00:00-04:00,SMH,BUY,0.607832,545.63,331.65,0.0332,0.3333
2026-09-04T09:30:00-04:00,SMH,SELL,-0.607832,560.63,-340.77,0.0341,0.0
2026-09-04T09:30:00-04:00,QLD,SELL,-3.715355,88.699,-329.55,0.0659,0.0
2026-09-04T16:00:00-04:00,IWM,BUY,1.132712,294.805,333.93,0.0334,0.3333
2026-09-04T16:00:00-04:00,QLD,BUY,3.671935,90.9409,333.93,0.0668,0.3333
2026-09-04T16:00:00-04:00,SMH,BUY,0.590054,565.93,333.93,0.0334,0.3333
